Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
"Coil Winders, Tapers, and Finishers",51-2021.00,2.88,2.75,3,2.88,2.12,2,2.88,2.5,1.75,1.12,1,0,2.88,2.88,2.25,1.88,2,1.88,3.12,3,2.62,2.25,2.88,2.88,1.88,1.25,1.75,1.12,2,2.12,1.88,1.5,2.38,1.88,1.5,0.62,1.75,0.75,1.62,0.62,1.12,0.12,1,0,3.12,3.12,3,3.12,1.62,0.62,2,1.88,1.38,0.38,2.12,2.25,2.75,2.5,2,1.5,1.88,1.25,2.38,2.12,1.5,0.5,1.5,0.5,1.88,1
Electrical and Electronic Equipment Assemblers,51-2022.00,3.25,3.12,3,2.88,2.88,2.62,2.88,2.75,2.12,2,1.88,1.5,3,3,2.62,2.75,2.12,2,3.12,2.88,2.62,2.5,3,2.88,2.12,1.88,2.12,1.88,2.5,2.5,2.25,2.38,2.62,2.5,1.62,0.62,1.75,0.75,2.25,1.5,2.12,1.62,1.25,0.25,3.12,3,2.88,2.88,2.25,1.5,2.5,2,2.25,1.75,2.88,2.5,3.12,2.62,2.38,1.5,2.25,1.5,2.88,2.75,1.5,0.5,1.75,0.88,2.25,2
Electromechanical Equipment Assemblers,51-2023.00,3,3,2.88,2.75,2.5,2.12,3,2.62,2,1.88,2,2,3,2.88,2.38,2.12,1.88,1.62,2.88,2.75,2.5,1.75,2.38,2,1.88,1.62,1.88,1.62,1.88,1.5,2,1.75,2.5,2.12,1.75,0.75,1.88,1,2.38,2,1.62,1,1.5,0.5,3.25,3,2.62,2.25,2.75,2.88,3,3.12,2.75,2.75,3.25,3.25,2.88,2.38,2.12,1.88,2.12,1.5,2.88,2.62,1.62,0.62,1.75,0.75,1.88,1.62
Engine and Other Machine Assemblers,51-2031.00,3.12,3.12,3,3,2.25,2.25,3,2.88,2,2,1.88,1.62,3,3,2.38,2.25,2,2,3,3,2.88,2.12,2.75,2.25,2.25,2,2.12,2,2.12,2.25,2.25,2,2.88,2.25,1.75,0.75,1.88,1,2.5,2.25,2,1.38,1.75,0.75,3.38,3.12,2.88,2.88,2.88,2.88,2.88,3,2.88,2.88,3.12,3.25,2.62,2.5,2.38,2,2.12,2,2.88,2.25,1.62,0.62,2,1.12,2.12,2.12
Structural Metal Fabricators and Fitters,51-2041.00,3,2.38,3,3,2,2,3,2.5,2,1.88,1.5,0.62,3,2.25,2.25,1.62,1.38,0.75,2.75,2.5,2.88,2.25,2.38,2.62,2.12,2.12,1.88,1.75,2,1.88,2.12,1.75,2.38,2.25,2,1.25,1.5,0.5,2.12,1.5,1.12,0.25,1,0,2.5,2.38,2.5,2.38,1.62,0.88,2.25,2,1.62,0.88,2.12,2.5,2.38,2.38,1.38,0.5,1.38,0.5,2.5,2.38,1,0,1.12,0.12,2,2
Fiberglass Laminators and Fabricators,51-2051.00,3,2.75,3,2.88,2.88,2.5,3,2.62,2.38,2.12,1.75,1,2.88,2.88,2.88,2.75,2.62,2.75,3.12,3.12,2.75,2.38,2.88,2.62,2.38,2.5,2.38,2.25,2.88,2.75,2.38,2.12,3,2.88,1.12,0.25,1.88,0.88,2.12,1.5,1,0,1,0,3.12,3,2.88,3,1.88,1.12,2.38,2.25,1.62,1.12,2.88,2.88,2.88,2.62,2.25,2,2.12,2.12,2.88,2.62,1.88,0.88,2,1.5,2.38,2.25
Timing Device Assemblers and Adjusters,51-2061.00,2.75,2.62,2.88,2.62,2.5,2.38,2.75,2.62,2,1.62,2,1.75,2.88,2.88,2.12,2.25,2.12,2,2.88,2.62,2.75,2.38,2.25,2,2,1.88,1.62,0.88,2.12,2.25,2.62,2.38,2.75,2.75,1.62,0.88,1.62,0.88,2.62,2.5,1.62,1.25,1.38,0.5,3,2.5,2.75,2.62,2.75,2.88,3.25,2.62,3.38,3.12,3.25,2.75,2.75,2.62,2.12,1.88,2,2,2.75,2.62,1.5,0.75,1.5,0.62,2,1.62
Team Assemblers,51-2092.00,3,2.88,3.12,3,2.75,2.88,3,3,2,1.5,1,0,3,2.88,2.25,2.12,2.38,2.12,3.12,3,3,3,3,3.25,2.38,2.38,2.25,2.25,3,2.88,2.25,2.25,2.88,2.62,1.38,0.62,1.5,0.5,2,1.5,1,0,1.62,0.62,3,3,2.75,2.75,2.25,2,2.12,2.12,2,2,3.12,3,2.75,2.75,2.25,2,2.12,2,3,2.75,1.88,1.12,2,1.25,2.75,2.5
Bakers,51-3011.00,2.88,2.75,3,2.75,2.25,2.12,3,2.88,2.25,2.12,1.75,0.88,3,3,3,3,2.25,2,3.25,2.88,2.75,2.62,3,2.88,2,1.75,2.12,1.88,2,2,2.5,2.25,2.25,2,2,1.88,1.75,0.88,1.5,0.62,1,0,1,0,2.88,2.62,2.25,2,1.5,0.5,2.12,1.25,1.12,0.12,2.88,2.25,3,2.75,2,2,2,2,3,2.75,1.75,0.88,2,1.38,2,1.62
Butchers and Meat Cutters,51-3021.00,3,3,3.12,3,2.25,2.75,3,3,2.38,2,1.25,0.25,3,3,2.5,2.12,2.25,2,3,2.88,3,2.88,2.88,2.75,2.75,2.88,2.75,2.75,2.62,2.25,3,2.88,2.88,2.5,1.75,1,1.38,0.5,1.5,0.88,1,0,1.12,0.12,2.5,2.12,2.38,2,1.62,1.12,2,1.88,1.62,1,2.62,2,2.88,2.38,2.38,2,2.38,2,3,3,2.12,2,2.25,1.75,2.62,3
"Meat, Poultry, and Fish Cutters and Trimmers",51-3022.00,2.38,2.25,3.12,2.25,2.12,2.12,3,2.62,2.25,1.88,1,0,3,2.88,2.38,2.25,2.25,2.25,3,2.62,2.88,2.38,2.88,2.38,2.25,2.12,2.25,2.12,2.62,2.12,2.75,2.38,2.38,2.12,1.12,0.12,1.25,0.25,2,1.38,1,0,1,0,2.5,2.38,2.25,2.12,1.75,1.25,2.25,2,1.75,1.25,2.12,2.12,3,2.12,1.62,1.12,1.62,1.12,2.88,2.12,1.75,0.88,1.88,1,2.62,2.25
Slaughterers and Meat Packers,51-3023.00,1.88,1.75,2.62,2.25,1.75,1,2.75,1.88,1.75,0.75,1,0,2.38,1.88,2,1.5,2,1.25,2.25,1.88,2.38,1.75,2,1.88,1.88,0.88,1.75,1.12,1.88,1.62,2,1.75,1.88,1.75,1.12,0.12,1,0,1.38,0.5,1,0,1,0,2.25,2,2.12,2.12,1.38,0.75,2.12,1.38,1.38,0.75,2.12,2,2,1.75,1.88,1.12,1.88,1.12,2,1.88,1.5,0.5,1.62,0.62,1.88,1.5
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091.00,3.12,2.88,3.12,2.88,2.88,2.88,3,2.88,1.5,0.75,1.75,0.88,3.12,3,2.5,2.62,2.5,2.5,3.5,3,3,2.12,3,3,2.5,2.25,2.25,2.12,2.62,2.62,2.62,2.12,3,2.75,1.88,1.5,1.5,0.5,2.12,2,1.62,0.62,1.25,0.25,3.62,3.62,3.12,3.12,2.12,2.25,2.25,2.25,2.12,2,3.12,2.88,3,2.62,2.25,1.62,2,1.5,2.88,2.12,1.25,0.25,1.38,0.5,2.12,2
Food Batchmakers,51-3092.00,3.12,3,3,3,2.88,2.88,3,3,2.75,2.38,2,1.75,3.12,2.88,2.75,2.12,2.12,2,2.88,3,2.75,2.62,3,3,2,2.12,2,2,2.12,2.12,2.12,2.12,2.88,2.62,1.88,1.75,1.5,0.5,1.62,0.88,1,0,1.12,0.12,3.25,3,3,2.88,1.62,1.25,2.12,2,1.5,0.62,2.75,2.12,2.88,2.38,2,1.5,2,1.5,2.75,2.5,1.25,0.38,1.5,0.62,2.12,2.12
Food Cooking Machine Operators and Tenders,51-3093.00,3.12,2.75,3,3,2.75,2.62,2.62,2.38,2,1.88,1.88,1.38,3,2.38,2.62,2.38,2.12,2,3.12,2.88,2.62,2.38,2.88,2.75,2,1.62,1.88,1.62,2,2.12,2,2.12,2.88,2.38,1.62,0.75,1.38,0.38,1.5,0.5,1,0,1.25,0.25,3.5,3.12,3.12,2.88,1.62,1.12,1.88,1.75,1.38,0.38,2.75,2.12,2.75,2.25,2,1.38,2.12,1.62,2.62,2.25,1.62,0.75,1.88,1,2,2
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021.00,2.88,2.88,2.88,2.62,2.62,2,3,2.5,2.5,2.5,1.88,1.12,3.12,2.75,2.62,2.25,2.25,2.12,3.12,3.25,2.75,2.38,3,3,2.38,1.88,1.75,1.5,2.25,2.25,2.25,1.75,3,2.62,1.75,1.38,1.88,0.88,2.62,2.5,2.12,1.62,1.5,0.5,3.5,3.62,3.38,3.5,2.62,2.62,3,2.75,2.75,2.88,3.12,3.38,3.12,2.75,2.38,2.25,2.38,2.25,2.88,2.5,1.75,0.75,1.75,1.25,2.25,1.88
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022.00,3.12,2.88,3.12,3,2.75,2.75,2.88,2.88,2.12,2.12,1.38,0.62,2.88,2.88,2.38,2.12,2.38,2.25,3.12,3.12,2.88,2.38,2.75,2.62,2.38,2.12,2.25,2.12,2.25,2.25,2.12,2.12,2.62,2.75,1.88,1.12,1.88,0.88,2,1.75,1.62,1,1.25,0.25,3.25,3,3.12,3,2.75,2.25,2.88,2.75,2.5,2.12,2.88,2.88,2.75,2.62,2,1.75,2,1.75,3,2.62,1.38,0.38,1.5,0.5,2.38,2.25
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023.00,3,2.88,3.12,2.75,2.62,2.62,3.25,2.75,2.38,2.5,1.38,0.38,3.12,3,3,3,2.88,2.75,3.5,3,2.88,2.5,3,3,1.88,1.75,2,1.62,2.75,2.88,2.38,2,3,2.75,1.75,1.12,1.75,0.88,2.62,2.38,2.38,2,1.62,0.62,4,4,4,3.88,3,3,3,3,3,2.88,3.62,3.88,3,2.88,2.75,2.75,2.75,2.38,3,3,1.75,0.88,1.88,1.25,2.75,2.62
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031.00,2.88,2.88,3,2.75,2.62,2.38,3,2.75,2.38,2.38,1.62,0.88,3,2.75,2.62,2.25,2,2,3.25,3,2.5,2,2.75,2.5,2,1.75,1.88,1.88,2.25,2.5,1.88,1.62,2.62,2.62,1.75,1.25,1.75,0.75,2,1.5,1.5,0.88,1.12,0.12,3.5,3.5,3.38,3.5,2.75,2.75,3,2.88,2.5,2.5,3.25,3.38,2.88,2.75,2,1.5,2,1.5,2.75,2.62,1.5,0.5,1.75,0.75,2,1.88
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032.00,3.12,3,3,3,2.25,2.75,3,3,2.5,2.62,1.75,1.12,3,3,2.75,2.12,2.12,2.12,3.12,3.12,2.75,2.12,2.12,2.12,2.12,2,2,2,2.25,2.25,2,1.88,3,2.62,1.75,1.38,1.88,1,2.62,2.12,1.88,1.62,1.25,0.5,3.62,3.75,3.12,3.12,2.75,2.5,2.75,2.88,2.62,2.25,2.88,2.88,3,2.88,2.12,2.25,2,1.88,3,2.25,1.62,0.62,1.88,0.88,2,2.12
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033.00,3.12,2.88,2.88,2.62,2.38,2,3,2.5,2.75,3,1.5,0.5,3,2.88,2.62,2.25,2.25,2,3.12,3,2.62,2.25,2.88,2.5,2,1.62,2,1.38,2.25,2.12,2.12,1.75,2.88,2.75,1.62,1,1.62,0.75,2.75,2.12,1.5,0.62,1.75,0.75,4,3.62,4,3.62,2.75,2.5,3,2.62,2.62,2.5,3.5,3.5,3,2.88,2.38,2.25,2.25,2.12,2.75,2.25,1.62,0.75,2.12,1.12,2.12,1.88
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034.00,3,3,3,2.88,2.25,2.12,2.88,2.62,2.12,2.25,1.75,0.75,2.88,3,2.25,2,2.25,1.75,3.12,3,2.62,2.12,2.88,2.62,1.88,1.38,1.75,1,2.25,2.12,1.88,1.5,2.75,2.5,1.62,0.88,1.75,0.75,2.62,2.25,1.62,0.88,1.62,0.62,3.5,2.88,3.38,3.12,2.62,2.5,2.88,2.62,2.38,2.12,3.12,3.12,2.75,2.38,2.12,2,2.12,1.75,2.88,2.25,1.75,0.75,1.62,0.62,2,1.62
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035.00,2.88,2.75,3,2.88,2.62,2.25,2.88,2.5,2.62,2.75,1.38,0.38,3.12,3,2.62,2.38,2.12,2.12,3.12,3.12,2.62,2,2.75,2.5,1.88,1.62,1.75,1.38,2.12,2,2,1.75,2.75,2.38,1.88,1.25,1.62,0.75,2.25,2.12,1.62,0.88,1.5,0.5,3.88,3.88,3.38,3.25,2.38,2.38,2.75,2.75,2.38,2.38,2.88,3,2.62,2.38,2.12,2.12,2,1.88,2.62,2.38,1.5,0.5,1.62,0.62,2,2
Machinists,51-4041.00,2.88,3,3,2.88,2.5,2.62,3,3,2.88,2.75,1.5,0.75,3.12,3.12,2.75,2.88,2.12,2.38,3.12,3.12,2.88,2.75,3,3,2.25,2.12,2.38,2.12,2.5,2.75,2.25,2.12,3,3,2,1.88,1.88,1.88,2.62,2.62,2.5,2.38,1.75,1.12,3.12,3.25,3.25,3.38,2.88,2.88,3,2.88,2.88,2.75,3,3,2.75,2.75,2.5,2.12,2.5,2.25,2.88,2.62,1.62,0.75,1.75,1,2,2
Metal-Refining Furnace Operators and Tenders,51-4051.00,3,2.88,3,3,2.75,2.75,3,2.88,2.5,2.62,2,1.62,3,3,2.88,2.12,2.25,2,3.62,3.12,2.88,2.38,2.75,2.25,2.25,2.25,2.12,2,2.62,2.12,2.12,2.12,3,2.88,1.75,0.75,1.25,0.25,2.75,2,1,0,1,0,3.88,3.88,3.75,3.75,2.88,2.88,2.88,2.75,2.75,2.25,3,3.12,2.75,2.75,2.38,2.12,2.62,2.12,2.88,2.88,1.75,0.88,2,1.75,2.62,2.38
"Pourers and Casters, Metal",51-4052.00,2.75,2.5,3,3,2.25,2,2.88,2.62,1.88,1.62,1.75,1.12,3,3,2.25,2.12,2.25,2.12,3,3,2.75,2.12,3,2.62,2.12,2.12,2.12,2.12,2.25,2.12,2.25,2.12,2.75,2.12,1.75,1,1.5,0.5,2.25,2.12,1.12,0.25,1.25,0.25,3.25,3.12,3.25,3,3,2.75,2.62,2.75,2.38,2.25,3,3,3,3,1.75,1.25,1.88,1.5,2.88,2.25,1.62,0.75,1.88,1,2.25,1.75
"Model Makers, Metal and Plastic",51-4061.00,2.88,3,3,2.88,2.75,2.62,3,2.62,2.62,2.88,1.75,1.25,3.12,3,2.88,2.88,2.38,2,3.25,3,2.62,2.62,2.88,2.88,2,1.88,1.88,1.38,2.25,2.12,1.88,1.5,2.88,2.75,2.62,2.5,2.12,1.88,2.88,3,1.38,0.38,1.75,0.88,3.38,3.12,3.62,3.25,2.62,2.62,3.12,3.12,2.75,2.62,3.25,3.12,3,2.88,2,1.12,2,1.88,3,3,1.62,0.88,1.88,1.38,2.12,1.75
"Patternmakers, Metal and Plastic",51-4062.00,3,3,3,2.88,2.25,2.12,3,2.88,2.38,2.38,1.5,0.5,3,3,2.62,2.25,2.12,2,3,3.12,2.62,2.5,2.62,2.62,2,1.75,2,1.75,2.38,2.25,2,1.75,3,2.75,2.38,2.38,2,1.75,2.38,1.88,1.38,0.5,2.12,1.25,3.38,3.12,3.12,3,2.38,2.12,2.25,2,2.12,1.88,3.12,3.25,2.88,2.5,2.12,2,2.12,2.12,2.88,2.5,1.25,0.25,1.38,0.38,2,1.75
Foundry Mold and Coremakers,51-4071.00,2.25,2,2.88,2.25,2,1.75,2.62,1.88,2,1.75,1.25,0.25,2.88,2.5,2.38,2.12,2,1.5,3,2.62,2.25,2.12,2.25,2.5,2,1.5,2,1.5,2.12,2,2,1.62,2.62,2.12,1.62,0.75,1.38,0.38,2,1.5,1,0,1,0,3,2.38,2.62,2.38,2,1.38,2.12,2,2,1.25,2.38,2.12,2.62,2.25,2,1.12,1.88,1,2.88,2.5,1.75,0.75,1.75,0.75,2,1.88
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072.00,3.12,3,3.25,3,2.62,2.5,3,2.38,2.25,2.12,1.12,0.25,3,2.62,2.88,2.25,2.25,2.25,3.12,3,2.88,2.12,2.38,2,2.12,2,2.12,2,2.25,2.12,2.12,1.62,2.75,2.25,1.88,1.62,1.38,0.5,2.25,2,2,1.12,1.38,0.5,3.38,3.88,3.12,3.75,2.75,2.75,2.88,2.75,2.88,2.62,3,3.12,2.75,2.25,1.62,1.12,2.12,1.75,3,2.38,1.5,0.62,1.5,0.5,2.25,2.12
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081.00,3,3,3,3,2.75,2.75,3,2.88,2.25,2.12,1.25,0.38,3,3.12,2.88,2.88,2.38,2.75,3.12,3,3,2.38,2.88,2.88,2.38,2.38,2.25,2.12,2.75,2.88,2.38,2.12,3,3,2,1.88,1.88,1.25,2.38,2.38,2.12,1.75,1.88,1.12,4,4,3.12,3.12,3.12,3.12,3,3,3,3,3.38,3.5,3.12,3,2.38,2.25,2.25,2.12,2.88,2.88,2,1,2,1,2.12,2
Tool and Die Makers,51-4111.00,2.88,3.12,3,3,2.25,2.5,2.88,2.75,2.75,2.88,1.75,1.25,3.12,3.12,3,3.12,2.12,2.12,3.12,3,2.5,2,2.88,2.88,1.88,1.62,1.88,1.25,2.12,2.12,1.75,1,3,3,2.88,3.12,2.75,2.88,3.12,3,1.62,0.75,1.62,0.62,3.25,3,3.25,3.12,3,2.88,3,2.88,2.88,2.88,3.25,3.75,3.12,3,2.75,2.5,2.38,2.38,3.12,2.88,1.38,0.38,1.62,0.62,1.88,1.62
"Welders, Cutters, Solderers, and Brazers",51-4121.00,2.5,2.12,2.62,2.38,1.75,1.5,2.62,2,2.12,2.12,1.62,1,2.88,2.38,2.25,1.75,2,2,3,2.75,2.25,2.12,2.38,1.88,1.88,1.5,1.88,1.38,2,2.12,2.12,1.5,2.5,2.5,1.75,1.12,1.5,0.75,2.25,2,1.5,1,1,0,2.75,2.5,2.62,2.5,1.62,1.25,2.5,2.12,1.88,1.25,3.12,3,2.88,2.62,2.25,1.75,2.12,1.5,2.75,2.25,1.62,0.88,1.62,0.88,1.88,1.62
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122.00,2.75,2.62,3.12,2.62,2.25,2,3.12,2.88,2.25,1.62,1.75,0.75,3.12,3,2.5,2,2.25,1.88,3,3.12,2.62,2.5,2.75,2.75,2,1.75,2,1.75,2.38,2.25,2.12,1.5,3,2.5,1.75,1.25,1.62,0.62,2.12,2,1.25,0.25,1.12,0.12,3.38,3.25,3.12,3.12,2.38,2.38,2.38,2.38,2.12,2.12,2.38,2.5,2.75,2.5,1.88,1.25,2,1.5,2.62,2.5,1.38,0.38,1.62,0.62,2.38,1.88
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191.00,2.88,3,3.12,2.88,2.88,2.62,3.12,2.62,2.88,2.88,2,1.12,3,3,2.75,2.62,2.62,2.75,3.12,3.38,2.62,2.5,2.88,2.88,1.88,1.88,1.88,1.62,2.88,3,2.12,1.88,2.75,2.62,1.88,1.62,1,0,2.5,2.62,1.25,0.25,1.75,0.88,3.75,3.75,3.75,3.88,3,3.12,2.75,2.75,2.75,2.88,3.12,3.25,3,2.62,2.12,2.12,2.12,1.88,2.75,2.62,1.62,0.62,1.75,1.38,2.38,2.25
"Layout Workers, Metal and Plastic",51-4192.00,3,2.88,2.88,2.88,2.5,2.88,2.88,2.5,3.12,3.12,1.25,0.38,3,3.12,2.75,2.62,2.12,2,3,3,2.75,2.75,2.88,3,2.12,1.75,1.88,1.62,2.38,2.5,2,2,3,2.88,2.25,2,1.62,0.62,2.75,2,1.62,0.88,1.12,0.12,3,2.75,2.88,2.75,2,2,2.12,2,2,2,3,2.88,3,2.75,2.12,1.88,2.12,1.88,2.75,2.5,1.5,0.5,1.5,0.5,1.88,2.25
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193.00,3.12,2.88,3.12,3,2.75,2.62,3,2.75,2,1.38,2,1.88,3,2.75,2.12,2.12,2.25,2.12,3.12,3,2.62,2.25,3,2.62,2.38,2.12,2.38,2.12,2.25,2.38,2.25,2.12,2.62,2.25,1.88,1.62,1.38,0.5,2.12,2,1.12,0.25,1,0,3.25,3.12,3.12,3,2.38,2.38,2.38,2.25,2.25,2.12,3,2.75,2.88,2.12,2,1.62,2,1.62,3,2.75,1.5,0.5,1.88,0.88,2.12,2.25
"Tool Grinders, Filers, and Sharpeners",51-4194.00,2.88,3,2.75,2.88,2.5,2.25,2.5,2.38,2.75,2.88,1.12,0.12,3.25,2.88,2.75,2.62,2.5,2.38,3,2.75,2.5,2.12,2.38,2.12,2.25,2.12,2.25,2,2.5,2.38,2.12,2,2.88,2.75,1.88,1.38,1.88,1.12,3,2.38,1.12,0.25,1.5,0.5,3.88,3.62,3.75,3.62,3.38,3.38,3,2.88,3.38,3,3.5,3.25,2.88,2.75,2.5,2.25,2.25,2.25,2.75,2.62,2,1.38,2.12,1.75,2.38,1.88
Prepress Technicians and Workers,51-5111.00,3,3,3.12,3,2.88,2.88,3.12,3.12,2,2,1.62,0.88,3.12,3,2.88,3,2.38,2.25,3.12,3,2.88,2.75,3,2.88,2.88,2.38,2.62,2.12,2.75,2.5,2.62,2.62,3,2.88,2,1.5,1.75,1,2.12,1.75,1,0,1.75,0.88,3,3,2.62,2.12,2.38,1.88,2.12,2.12,2.12,1.75,2.75,2.38,3,2.88,2.38,2.25,2.38,2.25,3.12,2.75,1.5,0.5,1.75,0.88,2.25,2.25
Printing Press Operators,51-5112.00,3.12,3.12,3.12,3,2.38,2.62,3.12,3,2.12,2,1,0,3.12,3.12,2.88,2.88,2.12,2.12,3.25,3.25,2.75,2.75,3,3,2.38,2.38,2,2,2.25,2.75,2.12,2.62,3,2.88,1.62,0.75,1.5,0.75,2.5,2.5,1.12,0.12,1.5,0.62,3.62,3.62,3.25,3.25,3.12,3.12,3.12,3.12,3.12,3.12,3.88,3.25,3.12,2.88,2.25,2.12,2.25,2.12,3.12,3,1.62,0.75,2.12,1.88,2.12,2
Print Binding and Finishing Workers,51-5113.00,3.12,2.88,2.88,2.88,2.75,2.62,3,2.75,2.12,2.12,1.12,0.12,3.25,3,2.5,2.38,2.5,2.88,3.12,3,2.62,2.62,2.88,2.75,2.12,2.25,2.12,1.88,2.88,2.75,2.62,2.25,3,2.88,1.25,0.5,1.62,1,2.5,2.25,1.88,1.5,1.62,0.88,3.38,3.12,2.88,3.12,2.88,3.12,2.62,2.75,2.88,2.75,3,2.88,3.12,2.75,2.5,2.12,2.38,2.38,2.88,2.62,1.62,0.75,1.62,0.75,2.5,2.5
Laundry and Dry-Cleaning Workers,51-6011.00,2.75,2.12,3,2.25,2.12,2.12,2.88,2.38,1.62,0.88,1,0,2.75,2.5,2.62,2.12,2.25,2.12,3,2.25,2.88,2.25,2.5,2.25,2.25,2.12,2.25,2.12,2.38,2.12,2.38,2.38,2.38,2.25,1.62,0.88,1,0,1.75,1.12,1,0,1,0,2.88,2.5,2.75,2.12,1.75,1.25,2.12,2.25,1.75,1.25,2.25,2,2.75,2.12,2,1.62,2,1.5,2.88,2.38,1.62,1,1.62,1,2.25,2
"Pressers, Textile, Garment, and Related Materials",51-6021.00,2,1.75,2,2,1.75,1.5,2.12,2,1.62,0.75,1,0,2.5,2.25,2.12,1.5,1.75,1,2.38,2.12,2,1.75,2,1.75,1.75,1.25,1.75,1.12,1.25,0.38,1.88,1.5,2.25,1.75,1.5,0.5,1.5,0.5,2,1.12,1.25,0.25,1,0,2.5,2.12,3,2.25,2.25,1.38,2.25,1.75,1.75,1,2.12,1.88,2.12,2.12,1.62,0.88,1.88,1.25,2.5,2,1.5,0.5,1.5,0.5,1.5,0.75
Sewing Machine Operators,51-6031.00,2.62,2.12,2.75,2.12,2,2,2.12,1.88,2,1.88,1,0,2.75,2.12,2.12,1.88,2.12,2,3.12,2.5,2.38,1.88,2.5,1.75,1.75,1.5,1.75,1.5,2,1.88,1.75,1.5,2.75,2.12,1.62,0.62,1,0,1.5,0.75,1,0,1,0,2.75,2.12,2.62,2.25,2,1.25,2.12,2,1.88,1,2.75,2.62,2.75,2,1.88,1.62,1.88,1.12,2.75,2.12,1.75,0.88,1.75,0.75,1.75,1.5
Shoe and Leather Workers and Repairers,51-6041.00,2.88,2.25,3,2.5,2.12,2.12,3,2.25,1.88,1.25,1,0,3,2.88,2.38,2.25,1.62,0.88,3,2.62,2.88,2.25,2.88,2.12,2.25,2.12,2,1.5,2.25,2.12,2.88,2.25,2.38,2.12,1.62,0.75,1.38,0.38,2,1.62,1,0,1,0,2.88,2.12,2.25,2,1.5,0.75,2,1.88,1.5,0.88,2.5,2.25,2.88,2.38,1.88,1.25,1.5,0.88,2.75,2.38,1.62,0.75,1.88,1.12,2.12,1.88
Shoe Machine Operators and Tenders,51-6042.00,3,2.75,3,2.75,1.88,1.75,2.88,2.62,2.12,1.62,1.12,0.12,3,2.38,2,1.75,1.75,1.12,2.88,2.88,2.12,1.88,2.25,1.88,1.88,1.62,1.75,1.25,1.88,1.38,1.88,1.38,2.5,2.5,1.88,1.25,1.38,0.5,2.62,2.5,1,0,1,0,3.25,2.88,3,3,2.75,2.62,2.75,2.5,2.62,2.25,3,3,2.88,2.38,2.12,1.62,2,1.75,2.62,2.62,1.75,1,1.75,0.88,2,1.75
"Sewers, Hand",51-6051.00,2.5,2.25,2.62,2.38,2.38,2.25,2.62,1.88,2.38,2.12,1,0,2.75,2.38,2.5,2.12,2.25,2.25,2.62,2.62,2.5,2,2.25,1.88,2.25,1.88,2.12,2,2.25,2.62,2.38,2.12,2.75,2.38,2,1.62,1.62,1,1.25,0.25,1,0,1,0,2.62,2.12,2.5,2.25,1,0,2,1.62,1,0,2.5,2,3,2.38,2,1.88,1.88,1.75,2.88,2.5,1.88,1.5,2.38,2,2.38,2.25
